brand,km_driven,fuel,owner,selling_price
Honda,189637,Diesel,Second Owner,574708
Honda,86123,CNG,Third Owner,537976
Isuzu,111255,LPG,First Owner,69198
Ford,169405,Electric,Second Owner,132951
MG,6174,CNG,Fourth Owner,120511
MG,120769,Diesel,First Owner,333475
Volvo,38398,Electric,Fourth Owner,329037
Tata,170001,Petrol,Third Owner,245985
Hyundai,138393,LPG,First Owner,68243
MG,126549,Diesel,Third Owner,589823
Volvo,189493,LPG,Second Owner,506419
Ford,75635,Electric,Fourth Owner,391358
MG,26760,CNG,Third Owner,265958
Datsun,145432,LPG,Fourth Owner,325490
Datsun,144385,Petrol,Fourth Owner,276073
Kia,133674,Diesel,Third Owner,387468
Datsun,139873,Petrol,Second Owner,293470
Fiat,17130,LPG,Fourth Owner,414890
MG,148343,CNG,Third Owner,124783
Jeep,150147,CNG,Second Owner,489179
Volvo,110215,Petrol,Third Owner,329103
Skoda,153056,Electric,Second Owner,558102
Datsun,91095,Electric,Fourth Owner,401487
Ford,63942,CNG,First Owner,215205
Jeep,146933,Petrol,Third Owner,270826
Tata,101970,Petrol,Fourth Owner,101150
Skoda,85203,Petrol,Third Owner,333878
Isuzu,195319,LPG,Third Owner,591688
MG,155049,Electric,Second Owner,201074
Fiat,184689,Electric,Third Owner,436582
Renault,191545,LPG,Second Owner,274540
Volkswagen,91177,Diesel,Fourth Owner,564497
Fiat,75902,LPG,Third Owner,421007
Kia,95172,Petrol,Fourth Owner,206118
Jeep,149702,LPG,First Owner,204736
Mahindra,23056,Petrol,Fourth Owner,467669
Datsun,141454,CNG,Third Owner,579034
Mahindra,58739,Petrol,First Owner,270581
Chevrolet,84685,Electric,Second Owner,456433
Fiat,51639,LPG,First Owner,375328
Mahindra,193910,Petrol,Third Owner,138898
Renault,180113,Diesel,Third Owner,214411
Volvo,3992,CNG,Fourth Owner,340869
Jeep,75394,Diesel,Second Owner,488596
Skoda,70657,Diesel,Third Owner,491289
Isuzu,30160,Diesel,Third Owner,241945
Isuzu,48156,CNG,Second Owner,267972
BMW,185447,CNG,Second Owner,177240
Mahindra,89442,CNG,Fourth Owner,222413
Honda,153644,CNG,First Owner,313380
Isuzu,120925,Diesel,Second Owner,178357
Kia,7136,Electric,Third Owner,326682
Mahindra,64868,Electric,Second Owner,455187
Datsun,85263,CNG,Third Owner,551817
Chevrolet,35167,LPG,Fourth Owner,526669
Honda,113957,Petrol,First Owner,434691
MG,18479,LPG,Fourth Owner,218482
Volkswagen,122392,LPG,Second Owner,403126
Hyundai,165448,LPG,Third Owner,494518
Honda,138895,Electric,Second Owner,569328
Ford,22585,Petrol,Second Owner,464919
Nissan,151344,LPG,Second Owner,299526
Skoda,29619,CNG,Second Owner,366256
MG,78069,Electric,First Owner,61399
Mahindra,42895,CNG,Third Owner,62685
Fiat,6720,CNG,Second Owner,399921
Datsun,22267,LPG,Third Owner,493445
Toyota,149768,CNG,First Owner,355262
Volkswagen,164040,Petrol,Third Owner,109615
Isuzu,56364,CNG,Third Owner,302409
Maruti,157417,LPG,First Owner,97342
Jeep,54567,CNG,Second Owner,424160
Volkswagen,94229,Electric,Third Owner,233256
Kia,195679,Electric,Fourth Owner,526463
MG,153457,Electric,Third Owner,174939
Hyundai,199497,Diesel,Second Owner,338766
Honda,81518,Electric,Fourth Owner,590638
Kia,85844,Electric,Second Owner,211961
Hyundai,166991,Diesel,Third Owner,191296
Volkswagen,93697,Electric,First Owner,186537
Volkswagen,60196,LPG,Second Owner,147739
Isuzu,118600,Electric,Second Owner,274552
Honda,103625,Electric,First Owner,276445
Mahindra,134567,Diesel,Third Owner,74336
Chevrolet,47755,LPG,Second Owner,94764
BMW,36324,CNG,Third Owner,540548
Datsun,81929,Petrol,Third Owner,95420
MG,135624,LPG,Third Owner,532974
Jeep,54272,CNG,First Owner,154381
MG,169925,LPG,Third Owner,185105
Fiat,166996,CNG,Third Owner,70497
Kia,77462,CNG,Fourth Owner,129714
Mahindra,157961,LPG,Fourth Owner,176892
BMW,57675,Diesel,Fourth Owner,253154
Ford,76591,LPG,Second Owner,193954
Maruti,156706,LPG,Second Owner,299720
Datsun,35363,CNG,Fourth Owner,265363
Honda,197824,Petrol,First Owner,147847
Volkswagen,80004,CNG,First Owner,245110
Chevrolet,190470,Electric,Fourth Owner,292303
Isuzu,43718,LPG,Second Owner,408278
Toyota,116627,LPG,Second Owner,478665
Isuzu,29870,Diesel,First Owner,461855
Ford,40394,CNG,Third Owner,121918
Jeep,55057,Diesel,First Owner,485926
Maruti,82795,LPG,Third Owner,235123
Chevrolet,83409,CNG,Second Owner,241711
Fiat,16016,CNG,Second Owner,53159
Renault,45137,Electric,Fourth Owner,379132
Fiat,134225,Electric,Second Owner,330850
Datsun,141925,Petrol,Third Owner,453078
Toyota,15379,Electric,First Owner,401161
MG,149864,CNG,Fourth Owner,346680
Ford,124169,Electric,Third Owner,383776
Ford,172439,Petrol,First Owner,520607
Nissan,152172,LPG,First Owner,506102
Tata,129082,Electric,First Owner,523212
Mahindra,116089,CNG,Second Owner,346081
Chevrolet,197528,LPG,First Owner,71094
Nissan,14049,CNG,Second Owner,175312
Volkswagen,134858,LPG,First Owner,154894
Hyundai,164771,CNG,First Owner,557146
Mahindra,125784,Electric,Second Owner,383589
BMW,50691,Electric,Second Owner,81854
Toyota,171112,Petrol,Third Owner,110796
Skoda,60986,LPG,First Owner,381576
BMW,172834,Petrol,Second Owner,240040
Volvo,157672,Diesel,Third Owner,122575
Volkswagen,97774,Electric,Third Owner,160380
Chevrolet,153882,LPG,Second Owner,336243
Kia,108315,Petrol,First Owner,512422
Nissan,60204,Petrol,Third Owner,158871
Hyundai,23085,Diesel,First Owner,327173
Renault,180926,Petrol,First Owner,475027
Datsun,173851,CNG,Third Owner,65793
Honda,190279,Electric,Second Owner,360250
Tata,36980,Petrol,First Owner,397806
Ford,59117,Petrol,Fourth Owner,265836
Ford,148213,Diesel,Second Owner,527347
Fiat,143416,CNG,Third Owner,444188
Datsun,18896,Petrol,Fourth Owner,443576
Renault,92353,Electric,First Owner,130882
Honda,32813,Electric,Second Owner,199080
BMW,68679,Petrol,Fourth Owner,473499
Datsun,144753,CNG,Second Owner,513871
Kia,6228,Electric,First Owner,80579
Honda,138654,Electric,Second Owner,246092
Isuzu,14397,CNG,Fourth Owner,554473
Isuzu,172871,CNG,Second Owner,564879
Datsun,40011,Petrol,Third Owner,506695
Honda,82183,LPG,Third Owner,328409
Honda,96254,Diesel,Fourth Owner,447534
Tata,178336,LPG,Second Owner,478297
Volkswagen,45317,LPG,Fourth Owner,239721
Fiat,181986,Electric,Second Owner,560332
Renault,105489,CNG,First Owner,550267
Toyota,179326,Electric,Third Owner,556568
Chevrolet,43096,Diesel,First Owner,259742
Ford,56785,Petrol,Second Owner,417112
Hyundai,55344,Diesel,First Owner,126377
Nissan,123382,Electric,Fourth Owner,403815
Renault,199675,Electric,Fourth Owner,193499
Honda,162484,Electric,Second Owner,483467
Renault,113489,Electric,Third Owner,280739
Honda,185730,LPG,Fourth Owner,468381
Hyundai,183621,Petrol,Third Owner,410988
MG,14549,LPG,Second Owner,385314
Kia,28739,Electric,Third Owner,337010
Renault,24209,CNG,Second Owner,201391
Fiat,110051,LPG,First Owner,589700
Skoda,18116,Electric,Second Owner,545379
Ford,23045,Electric,First Owner,516802
Nissan,160399,Petrol,Second Owner,170019
Hyundai,38709,Diesel,Fourth Owner,264649
Fiat,46617,LPG,Fourth Owner,374066
Tata,194211,LPG,Third Owner,318329
Skoda,160977,LPG,Second Owner,398492
Ford,198220,Electric,Second Owner,141368
Jeep,122779,Petrol,Second Owner,237461
Isuzu,45919,Electric,Third Owner,329567
Tata,86521,Electric,Fourth Owner,101268
Ford,192518,CNG,Second Owner,162692
Jeep,186500,Petrol,Third Owner,484860
Volkswagen,181966,LPG,Second Owner,407345
Ford,9447,Diesel,First Owner,518741
Volkswagen,8499,LPG,Second Owner,168222
Datsun,42041,Electric,First Owner,473693
Isuzu,34315,Petrol,Third Owner,172942
Skoda,135371,Petrol,Third Owner,549972
Volkswagen,123506,Petrol,Fourth Owner,593864
Volvo,139066,CNG,Second Owner,431785
Honda,141561,LPG,Third Owner,505919
Skoda,94647,CNG,Fourth Owner,260926
Hyundai,35355,Diesel,Second Owner,267267
Skoda,76805,Electric,Third Owner,427186
Volkswagen,71367,CNG,First Owner,491652
Volkswagen,112906,CNG,Third Owner,198044
Maruti,120409,Electric,First Owner,195120
Tata,80355,Petrol,Fourth Owner,148908
Volvo,119220,Electric,Fourth Owner,420868
Jeep,90173,LPG,Second Owner,287741
Skoda,4996,Electric,Second Owner,130225
Maruti,47387,Petrol,Second Owner,394417
Jeep,6089,Electric,Fourth Owner,176170
Renault,101827,CNG,First Owner,524766
Volkswagen,23659,Diesel,Second Owner,530570
Nissan,48178,CNG,Second Owner,519896
Volkswagen,98965,Diesel,Fourth Owner,77182
Kia,84268,Electric,First Owner,359203
Toyota,88042,LPG,Third Owner,452003
Tata,109471,Electric,Second Owner,563668
Mahindra,73111,Petrol,Third Owner,193128
Ford,168637,Electric,Third Owner,504699
Nissan,103435,Diesel,Second Owner,471645
Volkswagen,92242,CNG,Fourth Owner,365050
Volvo,116204,LPG,Second Owner,398434
Kia,156956,Electric,First Owner,333049
Kia,20199,Electric,First Owner,428958
Nissan,63038,CNG,Second Owner,538373
Mahindra,60786,LPG,Third Owner,529329
Isuzu,112636,Electric,First Owner,247271
Toyota,52294,Electric,First Owner,490475
Hyundai,168250,Diesel,Second Owner,400435
Chevrolet,146737,Diesel,Second Owner,530313
Volkswagen,3534,Petrol,Fourth Owner,336881
MG,94828,CNG,Second Owner,597678
Mahindra,39132,LPG,Second Owner,141612
Hyundai,118720,Electric,First Owner,121082
Volkswagen,39110,Electric,First Owner,464496
Chevrolet,192826,Petrol,First Owner,279561
Datsun,66580,Electric,Third Owner,333181
Renault,156541,CNG,First Owner,169229
Datsun,67016,Petrol,First Owner,483792
Skoda,49233,CNG,Second Owner,471780
Hyundai,132863,Petrol,Fourth Owner,280205
Volkswagen,192304,Electric,First Owner,146342
Honda,109311,Petrol,Fourth Owner,402072
Jeep,37409,Diesel,First Owner,553040
Tata,153396,LPG,First Owner,159844
Volvo,142810,Electric,Fourth Owner,587091
Mahindra,27054,LPG,Second Owner,378905
Kia,32709,Electric,First Owner,459379
Renault,112321,LPG,Fourth Owner,232957
Hyundai,3363,Diesel,First Owner,267412
Fiat,13358,LPG,Third Owner,86764
Ford,137312,Petrol,Third Owner,535998
Toyota,48689,LPG,Third Owner,243198
BMW,4936,Electric,Third Owner,289066
Toyota,115272,CNG,Second Owner,248296
Isuzu,94074,LPG,Third Owner,359199
Toyota,178037,LPG,Fourth Owner,363743
Datsun,3882,LPG,First Owner,259112
MG,154296,Electric,Fourth Owner,143120
Datsun,108227,LPG,Third Owner,225556
Kia,128865,Electric,Second Owner,177976
Maruti,126745,Electric,Third Owner,587507
Isuzu,164897,CNG,Third Owner,420652
Isuzu,31885,Petrol,Second Owner,361009
Chevrolet,174128,Electric,Second Owner,104457
Fiat,137275,Diesel,Second Owner,140159
MG,194313,LPG,Second Owner,250065
Toyota,136316,Diesel,Second Owner,143391
Honda,101322,LPG,Second Owner,362544
BMW,71619,CNG,First Owner,348402
MG,24584,Electric,Third Owner,230029
Mahindra,11521,Petrol,Third Owner,226752
Nissan,184089,Electric,Second Owner,275880
Maruti,36541,LPG,Fourth Owner,421021
Tata,32063,Petrol,Second Owner,323482
Fiat,73268,Electric,First Owner,61675
Fiat,129218,Petrol,Fourth Owner,139606
Volvo,121206,LPG,First Owner,332224
Nissan,199024,CNG,Fourth Owner,293747
Hyundai,173635,CNG,Fourth Owner,298585
Chevrolet,173824,Electric,Second Owner,326080
Hyundai,136639,Diesel,First Owner,60019
Toyota,150193,LPG,Fourth Owner,510498
Datsun,135746,Electric,First Owner,400448
Honda,79411,Electric,Second Owner,54486
Volkswagen,112876,CNG,Second Owner,394165
Renault,163212,Petrol,Second Owner,560462
Mahindra,143399,LPG,Second Owner,105998
Fiat,26331,Petrol,Third Owner,159537
Nissan,26004,LPG,Fourth Owner,76576
BMW,122243,Diesel,Third Owner,231172
Hyundai,144564,CNG,Second Owner,420208
Fiat,188869,Diesel,Fourth Owner,131238
Chevrolet,192167,Electric,Fourth Owner,265045
BMW,147821,CNG,First Owner,175885
Nissan,66217,Electric,Second Owner,140853
Honda,92044,Diesel,Third Owner,341288
Datsun,12045,LPG,First Owner,389292
MG,23116,Electric,Fourth Owner,372742
Fiat,21667,Petrol,Third Owner,462839
Jeep,78057,LPG,Second Owner,516981
Ford,77205,LPG,Third Owner,141810
BMW,30302,Diesel,Third Owner,122131
Tata,145355,Diesel,Third Owner,219449
Volvo,165007,CNG,First Owner,495581
Ford,75534,CNG,Fourth Owner,415556
Honda,165696,Petrol,Third Owner,346695
Maruti,16440,LPG,Fourth Owner,140214
Tata,114001,Petrol,First Owner,399894
Fiat,49501,Petrol,Second Owner,88599
Hyundai,135341,Diesel,Second Owner,279417
Honda,10868,Petrol,Third Owner,405474
Datsun,164323,Petrol,First Owner,596881
MG,80909,Electric,Second Owner,558965
Isuzu,87523,CNG,First Owner,512441
Fiat,172801,CNG,First Owner,237031
MG,18734,LPG,Third Owner,279701
Jeep,176501,CNG,Third Owner,182192
Skoda,175409,LPG,First Owner,93638
Chevrolet,174397,Electric,First Owner,220134
Datsun,86600,CNG,Third Owner,65213
Skoda,196586,Electric,First Owner,391910
Fiat,11433,CNG,Third Owner,446743
Chevrolet,143183,CNG,Fourth Owner,519773
Isuzu,106986,Electric,First Owner,264480
BMW,66753,Petrol,Third Owner,414577
Mahindra,116783,Petrol,First Owner,461973
Honda,24751,Petrol,Third Owner,561213
MG,150525,Petrol,First Owner,564738
Honda,173040,CNG,Second Owner,195384
BMW,164149,Diesel,Second Owner,465335
Chevrolet,168847,Electric,First Owner,192876
Fiat,192216,Diesel,Second Owner,388663
Chevrolet,51570,Diesel,First Owner,408237
Mahindra,180169,LPG,First Owner,512735
Datsun,27503,Petrol,Fourth Owner,578056
MG,136851,CNG,Fourth Owner,313648
BMW,89840,Petrol,Second Owner,380130
Toyota,134827,Petrol,Fourth Owner,519988
Renault,42263,Diesel,Fourth Owner,582290
Tata,111491,LPG,First Owner,125427
Jeep,58087,Petrol,Third Owner,350931
Hyundai,176353,Electric,First Owner,63898
Skoda,54482,Electric,Fourth Owner,130800
Nissan,188929,Petrol,First Owner,421167
Volkswagen,125989,Diesel,Second Owner,176718
Datsun,151472,Diesel,Third Owner,224458
Skoda,43115,CNG,Fourth Owner,180864
Isuzu,17249,LPG,Fourth Owner,202395
Isuzu,180897,Diesel,First Owner,512485
Chevrolet,113361,CNG,First Owner,222391
Fiat,27600,Electric,First Owner,591156
Tata,40706,Electric,First Owner,280804
Nissan,22222,Electric,Fourth Owner,194848
Volkswagen,102041,Petrol,First Owner,247303
Maruti,107504,LPG,Fourth Owner,234884
Tata,44139,CNG,First Owner,127585
Renault,117919,LPG,Third Owner,501758
Skoda,44302,Petrol,Third Owner,174147
Nissan,90838,CNG,First Owner,65628
Volvo,142718,CNG,First Owner,437994
Renault,147615,Diesel,Second Owner,309517
Datsun,156857,LPG,Third Owner,189337
MG,81353,LPG,Fourth Owner,441016
Chevrolet,165478,Diesel,Third Owner,309970
Fiat,91992,Electric,Fourth Owner,577765
Jeep,54428,Petrol,First Owner,163846
BMW,26777,LPG,Third Owner,294000
Maruti,60939,Diesel,Third Owner,323994
Kia,187098,CNG,Second Owner,406512
Skoda,89450,Diesel,Second Owner,74718
Isuzu,163625,Electric,Third Owner,471541
Maruti,26548,Petrol,Third Owner,180293
Hyundai,197293,Electric,Third Owner,434486
Maruti,171337,CNG,Fourth Owner,476185
Maruti,128549,CNG,First Owner,470871
Renault,174773,CNG,Second Owner,131234
Volkswagen,185359,CNG,First Owner,543622
Maruti,140799,Diesel,Second Owner,321246
Volkswagen,184789,CNG,Second Owner,284501
BMW,166499,CNG,Second Owner,134079
Mahindra,150764,Diesel,Third Owner,441313
Hyundai,34625,CNG,Second Owner,247937
Tata,27918,Electric,First Owner,430445
Mahindra,175208,Electric,Second Owner,206454
Chevrolet,117826,LPG,First Owner,88795
Isuzu,117881,Electric,Second Owner,101425
Fiat,186481,Petrol,Second Owner,505755
Hyundai,18577,Petrol,Third Owner,415271
Kia,88155,Petrol,First Owner,253567
MG,114776,Diesel,Second Owner,311712
Datsun,102246,Electric,Second Owner,514962
Skoda,161761,Petrol,First Owner,237350
Nissan,145226,LPG,Second Owner,390300
Honda,97948,Diesel,Fourth Owner,479960
Tata,24341,LPG,Third Owner,400484
Renault,100554,Electric,First Owner,80568
Tata,110798,CNG,Third Owner,321056
Renault,49330,LPG,Fourth Owner,362570
Mahindra,90759,CNG,Fourth Owner,422507
Renault,89807,Diesel,Fourth Owner,280066
Isuzu,36313,LPG,First Owner,303007
MG,49900,LPG,Fourth Owner,544957
Skoda,81840,Diesel,First Owner,52355
Skoda,168767,Diesel,First Owner,146429
Isuzu,164297,Petrol,Second Owner,509501
BMW,89072,Electric,First Owner,528187
Fiat,99367,LPG,Fourth Owner,488949
Mahindra,52156,LPG,First Owner,161151
Nissan,90453,Diesel,First Owner,350670
BMW,161901,Diesel,Third Owner,377521
Jeep,28938,Electric,Fourth Owner,225477
Toyota,62164,Diesel,First Owner,482058
Tata,188602,CNG,Second Owner,554898
Honda,63282,CNG,First Owner,162833
Renault,50801,CNG,First Owner,153578
Kia,143537,CNG,Third Owner,233455
Chevrolet,6326,Electric,Fourth Owner,555527
Nissan,137731,LPG,Fourth Owner,531465
Isuzu,194361,CNG,Second Owner,351829
MG,161666,Diesel,Second Owner,258294
MG,118819,CNG,Second Owner,118590
Volkswagen,7763,Electric,First Owner,321121
Volkswagen,144900,Diesel,First Owner,386216
Volvo,50588,CNG,Second Owner,458286
Volvo,14221,LPG,Fourth Owner,525689
Chevrolet,145283,Diesel,Fourth Owner,549203
Toyota,16569,Diesel,Second Owner,584299
Volkswagen,40860,LPG,Third Owner,229111
Skoda,48337,Diesel,Fourth Owner,452112
Volvo,186383,CNG,Fourth Owner,407479
MG,147587,Diesel,Second Owner,483174
Isuzu,74695,CNG,Fourth Owner,485128
Tata,109749,LPG,First Owner,50814
Isuzu,158976,Petrol,First Owner,518492
Volvo,194007,LPG,Fourth Owner,467935
Ford,46790,CNG,First Owner,332294
Renault,71580,Electric,Third Owner,53825
Honda,8636,LPG,Fourth Owner,458016
Kia,80129,Electric,Second Owner,125535
Volvo,136964,Electric,First Owner,136390
Honda,24672,CNG,Third Owner,554484
Fiat,8812,CNG,Third Owner,273923
Maruti,3654,Petrol,First Owner,229577
Mahindra,57633,Diesel,Third Owner,191749
MG,20143,LPG,Fourth Owner,472768
Datsun,58934,CNG,Third Owner,511107
BMW,70334,LPG,First Owner,543915
Ford,106463,Electric,Third Owner,173355
Toyota,128851,Diesel,First Owner,214364
MG,32087,Petrol,First Owner,178424
BMW,145690,LPG,Third Owner,175451
Isuzu,11446,Diesel,First Owner,378241
Datsun,105127,Petrol,First Owner,270408
Volvo,51867,LPG,Second Owner,378885
Renault,185100,Diesel,Fourth Owner,455255
Toyota,63101,CNG,First Owner,198616
Hyundai,161272,LPG,Fourth Owner,587275
Toyota,91074,Diesel,Second Owner,579527
Hyundai,195537,Petrol,Second Owner,73358
Fiat,121422,Diesel,Second Owner,426903
Hyundai,90892,CNG,Second Owner,525890
Toyota,123044,LPG,Fourth Owner,237522
Tata,42148,LPG,Third Owner,269592
Mahindra,85928,LPG,Third Owner,209500
Kia,154770,CNG,Fourth Owner,59096
Volvo,176542,Petrol,First Owner,97582
Volvo,54660,LPG,Fourth Owner,511373
MG,187982,Petrol,First Owner,381628
Honda,38450,Diesel,First Owner,598190
Volkswagen,190535,Petrol,Third Owner,368332
Isuzu,36757,Petrol,Second Owner,425038
Skoda,81012,LPG,Third Owner,464380
Fiat,109750,Electric,Third Owner,182844
Maruti,130043,Electric,Fourth Owner,234126
Honda,165462,CNG,Fourth Owner,370437
Skoda,59116,CNG,First Owner,524514
Toyota,147233,Electric,Fourth Owner,581501
Jeep,35152,Diesel,First Owner,327085
Kia,109379,LPG,First Owner,459180
MG,23836,LPG,Second Owner,76855
Chevrolet,189720,Diesel,Second Owner,575334
Chevrolet,160403,Diesel,Third Owner,466584
Hyundai,144835,Electric,Second Owner,428997
Ford,72444,CNG,First Owner,144135
Ford,96109,Diesel,Fourth Owner,262568
Tata,153259,CNG,Second Owner,458840
Volkswagen,146029,Petrol,Second Owner,285787
Renault,138451,LPG,Second Owner,418522
Fiat,162031,Electric,Second Owner,408565
Chevrolet,85018,LPG,First Owner,321367
Mahindra,126076,Electric,First Owner,299048
BMW,161177,Petrol,Third Owner,100044
Hyundai,134949,LPG,Fourth Owner,343172
Mahindra,182425,Petrol,Third Owner,107965
Tata,86788,Electric,Third Owner,284466
Datsun,99870,Diesel,Second Owner,119776
Hyundai,86308,LPG,Fourth Owner,343603
Honda,185639,Petrol,Second Owner,140932
Ford,60913,LPG,First Owner,523662
Ford,5637,LPG,Third Owner,380126
Maruti,45025,LPG,Fourth Owner,446562
Skoda,102508,CNG,First Owner,226251
MG,85464,Petrol,Third Owner,381822
Toyota,31742,Petrol,Fourth Owner,262678
Volkswagen,14831,LPG,Third Owner,424635
Fiat,116768,Diesel,Fourth Owner,532504
Nissan,88092,LPG,Third Owner,262243
Kia,93879,CNG,Second Owner,530970
Honda,91370,Electric,Third Owner,409553
Chevrolet,129537,CNG,Third Owner,360719
Jeep,180834,Diesel,Fourth Owner,357183
Kia,107824,LPG,Fourth Owner,130260
Kia,91741,Petrol,Second Owner,241750
MG,21830,LPG,Fourth Owner,474567
Renault,58044,Diesel,Third Owner,124797
Maruti,76948,Petrol,Fourth Owner,260087
Ford,72202,CNG,Fourth Owner,157904
BMW,40045,Electric,Fourth Owner,356844
Skoda,110509,Electric,Second Owner,389720
Nissan,160699,LPG,Second Owner,593765
MG,18198,CNG,First Owner,328271
Maruti,72521,Diesel,Second Owner,267790
BMW,109471,Electric,Second Owner,572471
Nissan,32475,CNG,Second Owner,586761
Ford,22403,LPG,Third Owner,280582
Fiat,6681,Petrol,First Owner,354608
Ford,94555,LPG,Third Owner,588002
MG,121884,LPG,Second Owner,373022
Ford,96122,CNG,Second Owner,409625
Datsun,118260,Electric,First Owner,262875
Datsun,176364,CNG,First Owner,146988
MG,108386,Petrol,Fourth Owner,317280
Fiat,139701,CNG,Second Owner,148115
Fiat,96246,Diesel,Second Owner,81516
Tata,98864,LPG,Third Owner,389126
MG,11417,Electric,Fourth Owner,507094
BMW,121888,Petrol,Second Owner,95099
Isuzu,168837,LPG,Third Owner,587476
Chevrolet,77499,CNG,First Owner,436221
Hyundai,133908,Diesel,Third Owner,579848
Renault,190646,CNG,Second Owner,554373
Ford,30675,LPG,Third Owner,158763
BMW,174635,Petrol,Third Owner,479613
Maruti,14332,Electric,Fourth Owner,520409
Honda,22177,LPG,Fourth Owner,435795
Tata,133560,Petrol,First Owner,265448
Ford,60104,LPG,Fourth Owner,91430
Ford,87335,Diesel,Third Owner,493738
Maruti,117938,CNG,Fourth Owner,257932
Datsun,83730,Electric,Second Owner,179189
Volvo,139023,Petrol,Third Owner,599535
Chevrolet,31333,Electric,Third Owner,201015
MG,24673,Electric,Third Owner,356658
Kia,117421,Electric,Second Owner,261980
BMW,43870,Petrol,Third Owner,474018
Isuzu,130536,Petrol,Fourth Owner,120408
Nissan,74101,Electric,Second Owner,274155
Hyundai,25821,CNG,Third Owner,194763
Isuzu,28494,LPG,Fourth Owner,421930
Mahindra,102477,Electric,Fourth Owner,316897
Fiat,129083,Diesel,First Owner,576121
Nissan,115698,Electric,Fourth Owner,320789
Isuzu,114560,Petrol,Fourth Owner,286192
MG,134907,LPG,First Owner,427572
Tata,21646,Diesel,First Owner,408121
BMW,126777,LPG,Second Owner,261670
Volkswagen,80360,LPG,Fourth Owner,190707
BMW,40335,Diesel,Second Owner,584228
Jeep,72351,Electric,Second Owner,390791
Isuzu,117934,Electric,Third Owner,290739
Kia,136501,Electric,Second Owner,237401
Skoda,44950,CNG,Second Owner,494374
Isuzu,63654,Electric,Second Owner,289354
Maruti,110422,Diesel,Second Owner,198865
Skoda,112934,CNG,First Owner,83677
Tata,122975,Electric,Fourth Owner,509512
Ford,94186,CNG,Third Owner,208337
Fiat,107234,Diesel,First Owner,574818
Fiat,105326,Electric,Third Owner,321695
Hyundai,80527,Petrol,Third Owner,340538
Maruti,89704,Diesel,First Owner,396241
Nissan,165171,LPG,Second Owner,382783
Kia,173457,LPG,First Owner,526673
Isuzu,169991,Diesel,Third Owner,52781
Isuzu,99952,LPG,Third Owner,67330
Datsun,63782,Diesel,Second Owner,317401
Skoda,74116,Petrol,First Owner,363807
Fiat,92626,Diesel,Fourth Owner,285439
Skoda,174459,Electric,Third Owner,445063
Datsun,149895,Electric,First Owner,399790
MG,49015,CNG,Second Owner,177148
Skoda,105877,LPG,Second Owner,349480
Chevrolet,18339,LPG,Fourth Owner,221003
Toyota,137563,Diesel,Third Owner,487140
Maruti,134778,LPG,Fourth Owner,487239
Maruti,100493,Electric,Fourth Owner,61320
Volvo,149800,Petrol,Fourth Owner,272172
Jeep,141069,Diesel,Fourth Owner,285077
Chevrolet,194480,LPG,Second Owner,167296
Jeep,192169,Electric,Third Owner,175355
Ford,132526,CNG,Fourth Owner,501930
Renault,172595,LPG,Third Owner,61780
Hyundai,124648,Petrol,Second Owner,564249
Isuzu,28163,Petrol,Second Owner,541193
Tata,151790,LPG,First Owner,303731
Renault,90508,LPG,First Owner,183001
Maruti,42619,Electric,Third Owner,407297
Renault,15126,LPG,First Owner,560452
Jeep,67926,CNG,Fourth Owner,457460
Volkswagen,43633,Electric,Third Owner,172636
Renault,6317,Diesel,Second Owner,427546
Volkswagen,47980,CNG,Second Owner,61116
Renault,47115,Electric,Fourth Owner,269026
Nissan,195718,Electric,First Owner,395445
Toyota,46158,Petrol,Third Owner,479111
Hyundai,190035,Electric,Third Owner,598155
Tata,181703,CNG,Fourth Owner,575496
Chevrolet,183388,LPG,First Owner,377716
Toyota,108364,CNG,Third Owner,508450
Tata,193414,Diesel,Fourth Owner,133748
Volvo,18504,Electric,Third Owner,192324
Tata,160732,Electric,Second Owner,135261
Hyundai,40196,Electric,Third Owner,270667
Isuzu,68938,Electric,Third Owner,205346
Volkswagen,142677,Petrol,Third Owner,381798
Renault,60388,Petrol,First Owner,307471
Volvo,58501,LPG,First Owner,259691
Volkswagen,187381,Electric,Fourth Owner,99647
Nissan,30043,Diesel,First Owner,521939
Maruti,36635,LPG,Third Owner,574712
Mahindra,83691,Electric,Third Owner,434560
Fiat,36132,Petrol,First Owner,346145
Maruti,18366,Diesel,First Owner,588834
MG,96944,LPG,Third Owner,222596
Mahindra,196652,Diesel,Third Owner,51304
Fiat,118267,Electric,Second Owner,138327
Volvo,191961,CNG,Fourth Owner,256958
Maruti,42236,Diesel,First Owner,127354
Datsun,7150,Diesel,Fourth Owner,476833
Datsun,114369,Petrol,Third Owner,170045
Honda,22423,Electric,Fourth Owner,239896
MG,7137,Diesel,First Owner,173780
Tata,32992,Electric,First Owner,84307
Nissan,113540,Petrol,Fourth Owner,297659
Honda,118140,Electric,First Owner,511696
Skoda,178993,Petrol,Second Owner,315388
Chevrolet,124225,Petrol,Third Owner,75090
Chevrolet,69917,LPG,Third Owner,376421
Kia,76690,Electric,First Owner,149895
Hyundai,37235,CNG,Third Owner,172641
Chevrolet,22122,LPG,Second Owner,491752
Renault,26956,Petrol,First Owner,319999
Honda,66879,CNG,Second Owner,303555
Skoda,61560,Diesel,Second Owner,308845
Jeep,113310,Diesel,Third Owner,161113
